auc,Regularization,FeatureSet,DayEffect
1.039427,1,A,09:00:00
1.0233,10,A,09:00:00
1.01808,20,A,09:00:00
1.032581,1,A,16:00:00
1.019575,10,A,16:00:00
1.012545,20,A,16:00:00
1.017429,1,A,20:00:00
1.005658,10,A,20:00:00
1,20,A,20:00:00
1.043632,1,B,09:00:00
1.027723,10,B,09:00:00
1.021534,20,B,09:00:00
1.040584,1,B,16:00:00
1.026936,10,B,16:00:00
1.020273,20,B,16:00:00
1.021697,1,B,20:00:00
1.008808,10,B,20:00:00
1.001717,20,B,20:00:00
