row.names  Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	1.034317703	0.0008876187	1165.27252	1.074603E-31
Regularization10	-0.013891745	0.0008876187	-15.65058	2.389357E-09
Regularization20	-0.020200221	0.0008876187	-22.75777	3.071955E-11
FeatureSetB	0.004923332	0.0007247376	6.79326	1.921302E-05
DayEffect20:00	-0.016196888	0.0008876187	-18.24757	4.057493E-10
DayEffect9:00	0.003534169	0.0008876187	3.98163	1.820933E-03
